,StationName,Lat,Lon
0,id_coast_glob_eur_00001,34.82666,24.08936
1,id_coast_glob_eur_00002,34.87061,24.08936
2,id_coast_glob_eur_00003,35.36865,26.90186
3,id_coast_glob_eur_00004,35.39795,26.88721
4,id_coast_glob_eur_00005,35.42725,26.96045
5,id_coast_glob_eur_00006,35.42725,27.01904
6,id_coast_glob_eur_00007,35.3833,26.9458
7,id_coast_glob_eur_00008,35.50049,12.57568
8,id_coast_glob_eur_00009,35.50049,12.61963
9,id_coast_glob_eur_00010,35.61768,23.78174
10,id_coast_glob_eur_00011,35.54443,23.81104
11,id_coast_glob_eur_00012,35.52978,23.89893
12,id_coast_glob_eur_00013,35.52978,23.98682
13,id_coast_glob_eur_00014,35.57373,24.07471
14,id_coast_glob_eur_00015,35.58838,24.14795
15,id_coast_glob_eur_00016,35.52978,24.20654
16,id_coast_glob_eur_00017,35.45654,24.25049
17,id_coast_glob_eur_00018,35.36865,24.29443
18,id_coast_glob_eur_00019,35.36865,24.38232
19,id_coast_glob_eur_00020,35.36865,24.47021
20,id_coast_glob_eur_00021,35.3833,24.55811
21,id_coast_glob_eur_00022,35.4126,24.646
22,id_coast_glob_eur_00023,35.42725,24.73389
23,id_coast_glob_eur_00024,35.4126,24.82178
24,id_coast_glob_eur_00025,35.42725,24.90967
25,id_coast_glob_eur_00026,35.4126,24.99756
26,id_coast_glob_eur_00027,35.37598,25.0708
27,id_coast_glob_eur_00028,35.354,25.15869
28,id_coast_glob_eur_00029,35.33936,25.24658
29,id_coast_glob_eur_00030,35.33936,25.33447
30,id_coast_glob_eur_00031,35.31006,25.42236
31,id_coast_glob_eur_00032,35.31006,25.49561
32,id_coast_glob_eur_00033,35.32471,25.5835
33,id_coast_glob_eur_00034,35.33936,25.67139
34,id_coast_glob_eur_00035,35.32471,25.75928
35,id_coast_glob_eur_00036,35.25146,25.74463
36,id_coast_glob_eur_00037,35.16357,25.72998
37,id_coast_glob_eur_00038,35.13428,25.81787
38,id_coast_glob_eur_00039,35.17822,25.89111
39,id_coast_glob_eur_00040,35.19287,25.979
40,id_coast_glob_eur_00041,35.23682,26.06689
41,id_coast_glob_eur_00042,35.20752,26.15479
42,id_coast_glob_eur_00043,35.25146,26.22803
43,id_coast_glob_eur_00044,35.31006,26.30127
44,id_coast_glob_eur_00045,35.23682,26.28662
45,id_coast_glob_eur_00046,35.16357,26.30127
46,id_coast_glob_eur_00047,35.07568,26.27197
47,id_coast_glob_eur_00048,35.01709,26.19873
48,id_coast_glob_eur_00049,35.00244,26.12549
49,id_coast_glob_eur_00050,35.01709,26.0376
50,id_coast_glob_eur_00051,35.03174,25.94971
51,id_coast_glob_eur_00052,35.01709,25.86182
52,id_coast_glob_eur_00053,35.00244,25.75928
53,id_coast_glob_eur_00054,35.01709,25.67139
